.NET技术	Microsoft .Net Technology
“UTJS”体验式教育——大学生演讲与沟通技能训练	Understanding Teamwork Job Skills
“UTJS”体验式教育——沟通与演讲	Communication and Presentation
“江南丝竹”名作欣赏	Appreciation of Chinese Classical Music
〈红楼梦〉与中国文化	Dream of the Red Chamber and Chinese Culture
〈论语〉选读	Selected reading of the Confucian Analects
《红楼梦》与中国文化	A Dream of the Red Mansions and Chinese Culture
《论语》、《孟子》选讲	Selected readings from the works of the analects Confucius and the works of Mencius
《论语》导读	Reading Guide of The Analects
《论语》选读	Introduction to The Analects of Confucius
《世说新语》与魏晋风度	“Shi Shuo Hsin Yu” and Demeanor in Wei and Jin Dynasties
《庄子》选读	Selected Reading of Village
1:电气设备	Electrical Equipment
1:可编程控制器	Programmable Logic Controller
2.科学技术史	History of Science
2:电气系统	Electrical System
2:数字信号处理	Digital Signal Processing
20世纪美学思想	Aesthetics of 20th Century
20世纪西方思想文化潮流	Western idea culture and idea in the20th century
20世纪哲学	The 20th CenturyPhilosophy
20世纪中国文化思潮	China Cultural Thoughts in 20th Century
20世纪中国文学名著赏析	Enjoy and Analyze of Chinese Literature Masterpiece in the 20th Century
20世纪中国文学名著欣赏	Appreciation on the 20th Century's Chinese Famous Works
20世纪中国文学名著选讲	Enjoyment and Analysis of Chinese Literature Masterpiece in the 20th Century
20世纪中国知识分子研究	The study on Chinese intellectuals in the 20th century
21世纪工程人才的能力建设	Capacity Building of Engineering Education in 21st Century
21世纪英语报刊导读	A guide to 21st century English newspaper
3:冲击电压发生器	Impulse Voltage Generator
4:电力系统继电保护	Relay Protection of Power System
5:变电站电气	Electrical System of Distributed Station
ACM专业实习（1）	Professional Practice
ACM专业实习（2）	Professional Practice
ACM专业实习（3）	Professional Practice
ANSYS在机械设计的应用	ANSYS and Machine Design
AS400系统概论	Introduction to AS400 System
ASIC设计与实现	ASIC Design and Implementation
ATM网络技术的原理和应用	Principle and Application of ATM Network
ATM网络技术原理和应用	Principle and Application of ATM Network
C++程序设计	C++ Programming
C++高级程序设计	C++ Programming
C++语言	The C++ Programming Language
CAD/CAM技术	CAD/CAM Technology
CAD/CAM技术及其在模具中的应用	CAD/CAM Technology and its Application in Die and Mould
CAD技术基础	Fundamentals of CAD Technique
CAD软件设计与开发	Design and Development of CAD Software
CIMS导论	Introduction to CIMS
CIMS导论（A类）	Introduction to CIMS
